絪腹,瓣悔靡ㄩ絪絏,Τ基靡ㄩ腹,Τ基靡ㄩ嘿,カ初,Τ基靡ㄩ,玻穨,そ秨祇︽/カ(耫)/祇︽ら,CFICode,称爹
1,TW0002701000,2701,窾,カ,布,芠ㄆ穨,1965/03/22,ESVUFR,
2,TW0002702008,2702,地堕,カ,布,芠ㄆ穨,1965/02/14,ESVUFR,
3,TW0002704004,2704,瓣猾,カ,布,芠ㄆ穨,1982/11/10,ESVUFR,
4,TW0002705001,2705,せ褐,カ,布,芠ㄆ穨,1988/12/24,ESVUFR,
5,TW0002706009,2706,材┍,カ,布,芠ㄆ穨,1991/06/25,ESVUFR,
6,TW0002707007,2707,垂地,カ,布,芠ㄆ穨,1998/03/09,ESVUFR,
7,TW0002712007,2712,环动ㄓ,カ,布,芠ㄆ穨,2013/12/03,ESVUFR,
8,TW0002722006,2722,甃常,カ,布,芠ㄆ穨,2012/03/14,ESVUFR,
9,KYG4002A1004,2723,-KY,カ,布,芠ㄆ穨,2010/11/22,ESVUFR,
10,TW0002727005,2727,珇,カ,布,芠ㄆ穨,2012/03/06,ESVUFR,
11,TW0002731007,2731,动粪,カ,布,芠ㄆ穨,2013/09/24,ESVUFR,
12,TW0002739000,2739,碒,カ,布,芠ㄆ穨,2016/05/19,ESVUFR,
13,TW0002748001,2748,冻珇,カ,布,芠ㄆ穨,2016/11/23,ESVUFR,
14,TW0002753001,2753,よ冻栋,カ,布,芠ㄆ穨,2021/09/09,ESVUFR,
15,TW0005706006,5706,获澳,カ,布,芠ㄆ穨,2011/10/21,ESVUFR,
16,TW0008462003,8462,琭ゅ,カ,布,芠ㄆ穨,2019/03/15,ESVUFR,
17,TW0008940008,8940,穝ぱ,カ,布,芠ㄆ穨,2009/05/15,ESVUFR,
18,TW0009943001,9943,贾瓆,カ,布,芠ㄆ穨,2002/08/26,ESVUFR,
