絪腹,瓣悔靡ㄩ絪絏,Τ基靡ㄩ腹,Τ基靡ㄩ嘿,カ初,Τ基靡ㄩ,玻穨,そ秨祇︽/カ(耫)/祇︽ら,CFICode,称爹
1,TW0002323003,2323,い吏,カ,布,筿穨,1992/02/17,ESVUFR,
2,TW0002340007,2340,経,カ,布,筿穨,1995/05/02,ESVUFR,
3,TW0002349008,2349,脘紈,カ,布,筿穨,1996/04/23,ESVUFR,
4,TW0002374006,2374,ㄎ,カ,布,筿穨,1995/01/16,ESVUFR,
5,TW0002393006,2393,货,カ,布,筿穨,1999/11/04,ESVUFR,
6,TW0002406006,2406,瓣河,カ,布,筿穨,2000/04/29,ESVUFR,
7,TW0002409000,2409,ね笷,カ,布,筿穨,2000/09/08,ESVUFR,
8,TW0002426004,2426,供じ,カ,布,筿穨,2000/09/11,ESVUFR,
9,TW0002429008,2429,皇,カ,布,筿穨,2000/09/11,ESVUFR,
10,TW0002438009,2438,稻模,カ,布,筿穨,2000/09/11,ESVUFR,
11,TW0002466000,2466,玜﹁筿,カ,布,筿穨,2001/09/17,ESVUFR,
12,TW0002486008,2486,膏,カ,布,筿穨,2001/09/19,ESVUFR,
13,TW0002489002,2489,风癮,カ,布,筿穨,2001/09/17,ESVUFR,
14,TW0002491008,2491,不,カ,布,筿穨,2001/09/17,ESVUFR,
15,TW0003008009,3008,ミ,カ,布,筿穨,2002/03/11,ESVUFR,
16,TW0003019006,3019,ㄈ,カ,布,筿穨,2002/08/26,ESVUFR,
17,TW0003024006,3024,拘羘,カ,布,筿穨,2002/08/26,ESVUFR,
18,TW0003031001,3031,ㄕ翬,カ,布,筿穨,2002/08/26,ESVUFR,
19,TW0003038006,3038,,カ,布,筿穨,2002/08/26,ESVUFR,
20,TW0003049003,3049,㎝,カ,布,筿穨,2002/09/27,ESVUFR,
21,TW0003050001,3050,啾紈,カ,布,筿穨,2002/10/29,ESVUFR,
22,TW0003051009,3051,疭,カ,布,筿穨,2002/10/28,ESVUFR,
23,TW0003059002,3059,地垂,カ,布,筿穨,2002/12/24,ESVUFR,
24,TW0003149001,3149,タ笷,カ,布,筿穨,2011/11/23,ESVUFR,
