絪腹,瓣悔靡ㄩ絪絏,Τ基靡ㄩ腹,Τ基靡ㄩ嘿,カ初,Τ基靡ㄩ,玻穨,そ秨祇︽/カ(耫)/祇︽ら,CFICode,称爹
1,TW0002312006,2312,腳,カ,布,ㄤ筿穨,1989/11/07,ESVUFR,
2,TW0002317005,2317,翬,カ,布,ㄤ筿穨,1991/06/18,ESVUFR,
3,TW0002354008,2354,翬非,カ,布,ㄤ筿穨,1996/10/08,ESVUFR,
4,TW0002359007,2359,┮霉,カ,布,ㄤ筿穨,1996/12/19,ESVUFR,
5,TW0002360005,2360,璓璟,カ,布,ㄤ筿穨,1996/12/21,ESVUFR,
6,TW0002373008,2373,綺ス︽,カ,布,ㄤ筿穨,1991/08/01,ESVUFR,
7,TW0002390002,2390,おò,カ,布,ㄤ筿穨,1999/06/15,ESVUFR,
8,TW0002404001,2404,簙,カ,布,ㄤ筿穨,2000/03/14,ESVUFR,
9,TW0002423001,2423,㏕絥,カ,布,ㄤ筿穨,2000/09/11,ESVUFR,
10,TW0002433000,2433,が脖筿,カ,布,ㄤ筿穨,2000/09/11,ESVUFR,
11,TW0002459005,2459,窗,カ,布,ㄤ筿穨,2001/09/17,ESVUFR,
12,TW0002461001,2461,竤筽,カ,布,ㄤ筿穨,2001/09/17,ESVUFR,
13,TW0002464005,2464,幅ミ,カ,布,ㄤ筿穨,2001/09/17,ESVUFR,
14,TW0002474004,2474,Θ,カ,布,ㄤ筿穨,2001/09/17,ESVUFR,
15,TW0002477007,2477,订筿,カ,布,ㄤ筿穨,2001/09/17,ESVUFR,
16,TW0002482007,2482,硈,カ,布,ㄤ筿穨,2001/09/17,ESVUFR,
17,TW0002488004,2488,簙キ,カ,布,ㄤ筿穨,2001/09/17,ESVUFR,
18,TW0002495009,2495,炊,カ,布,ㄤ筿穨,2002/03/25,ESVUFR,
19,TW0003018008,3018,秨,カ,布,ㄤ筿穨,2002/08/26,ESVUFR,
20,TW0003030003,3030,紈,カ,布,ㄤ筿穨,2002/10/29,ESVUFR,
21,TW0003043006,3043,,カ,布,ㄤ筿穨,2002/08/26,ESVUFR,
22,TW0003305009,3305,狜禩,カ,布,ㄤ筿穨,2008/07/10,ESVUFR,
23,TW0003518007,3518,琭乃,カ,布,ㄤ筿穨,2007/11/28,ESVUFR,
24,TW0003617007,3617,河ぱ,カ,布,ㄤ筿穨,2009/12/23,ESVUFR,
25,KYG114741062,3665,禩羛-KY,カ,布,ㄤ筿穨,2011/04/21,ESVUFR,
26,KYG291021031,5225,狥-KY,カ,布,ㄤ筿穨,2012/11/05,ESVUFR,
27,TW0006139009,6139,ㄈ稻,カ,布,ㄤ筿穨,2003/08/25,ESVUFR,
28,TW0006192008,6192,エ隔,カ,布,ㄤ筿穨,2004/09/27,ESVUFR,
29,TW0006196009,6196,,カ,布,ㄤ筿穨,2004/05/24,ESVUFR,
30,TW0006201007,6201,ㄈグ筿,カ,布,ㄤ筿穨,2004/09/27,ESVUFR,
31,TW0006215007,6215,㎝菹,カ,布,ㄤ筿穨,2007/12/31,ESVUFR,
32,TW0006283005,6283,睧,カ,布,ㄤ筿穨,2008/01/21,ESVUFR,
33,TW0006409006,6409,Π訥,カ,布,ㄤ筿穨,2014/03/31,ESVUFR,
34,TW0006438005,6438,ǔ眔,カ,布,ㄤ筿穨,2021/01/19,ESVUFR,
35,TW0006558000,6558,砍蔼,カ,布,ㄤ筿穨,2018/12/05,ESVUFR,
36,TW0006698004,6698,Π穟莱,カ,布,ㄤ筿穨,2019/11/25,ESVUFR,
37,TW0006743008,6743,炊穝,カ,布,ㄤ筿穨,2020/12/14,ESVUFR,
38,TW0008021007,8021,翴,カ,布,ㄤ筿穨,2008/01/21,ESVUFR,
39,TW0008201005,8201,礚寄,カ,布,ㄤ筿穨,2007/10/29,ESVUFR,
40,KYG8923R1002,8499,供-KY,カ,布,ㄤ筿穨,2017/11/24,ESVUFR,
