絪腹,瓣悔靡ㄩ絪絏,Τ基靡ㄩ腹,Τ基靡ㄩ嘿,カ初,Τ基靡ㄩ,玻穨,そ秨祇︽/カ(耫)/祇︽ら,CFICode,称爹
1,TW0001342004,1342,砮,カ,布,ㄤ穨,2020/11/24,ESVUFR,
2,TW0001416006,1416,約伦,カ,布,ㄤ穨,1976/04/20,ESVUFR,
3,TW0001435006,1435,い褐,カ,布,ㄤ穨,1987/12/28,ESVUFR,
4,TW0001437002,1437,对痲北,カ,布,ㄤ穨,1988/11/10,ESVUFR,
5,TW0001443000,1443,ミ痲,カ,布,ㄤ穨,1990/04/21,ESVUFR,
6,TW0001516003,1516,,カ,布,ㄤ穨,1995/04/01,ESVUFR,
7,TW0002062007,2062,爵菹,カ,布,ㄤ穨,2007/11/16,ESVUFR,
8,TW0002348000,2348,,カ,布,ㄤ穨,1996/01/05,ESVUFR,
9,TW0002358009,2358,,カ,布,ㄤ穨,1996/12/18,ESVUFR,
10,TW0002443009,2443,货腞,カ,布,ㄤ穨,2001/01/03,ESVUFR,
11,TW0002496007,2496,禫,カ,布,ㄤ穨,2002/03/08,ESVUFR,
12,TW0002514007,2514,纒ü,カ,布,ㄤ穨,1992/09/26,ESVUFR,
13,TW0002614005,2614,狥此,カ,布,ㄤ穨,1995/09/23,ESVUFR,
14,TW0002904000,2904,蹲勾,カ,布,ㄤ穨,1983/01/05,ESVUFR,
15,TW0003040002,3040,环ǎ,カ,布,ㄤ穨,2002/08/26,ESVUFR,
16,TW0003557005,3557,古,カ,布,ㄤ穨,2008/02/27,ESVUFR,
17,TW0004536008,4536,┹惩,カ,布,ㄤ穨,2013/10/09,ESVUFR,
18,KYG521131006,5284,jpp-KY,カ,布,ㄤ穨,2017/03/09,ESVUFR,
19,KYG202881093,5871,い-KY,カ,布,ㄤ穨,2011/12/13,ESVUFR,
20,TW0006165004,6165,,カ,布,ㄤ穨,2003/08/04,ESVUFR,
21,TW0006184005,6184,伦筿,カ,布,ㄤ穨,2005/02/15,ESVUFR,
22,TW0006464001,6464,计,カ,布,ㄤ穨,2015/12/16,ESVUFR,
23,TW0006504004,6504,玭せ,カ,布,ㄤ穨,2013/05/07,ESVUFR,
24,TW0006581002,6581,葵羛,カ,布,ㄤ穨,2018/01/30,ESVUFR,
25,TW0006592009,6592,㎝柬穨,カ,布,ㄤ穨,2019/12/09,ESVUFR,
26,TW0006625007,6625,ゲ莱,カ,布,ㄤ穨,2018/02/07,ESVUFR,
27,KYG416551045,6641,膀紈-KY,カ,布,ㄤ穨,2018/09/21,ESVUFR,
28,TW0006655004,6655,﹚,カ,布,ㄤ穨,2018/11/28,ESVUFR,
29,TW0006670003,6670,確脖莱ノ,カ,布,ㄤ穨,2018/12/18,ESVUFR,
30,KYG7806W1033,6671,-KY,カ,布,ㄤ穨,2018/12/11,ESVUFR,
31,TW0006754005,6754,蹲勾砞璸,カ,布,ㄤ穨,2020/08/25,ESVUFR,
32,KYG8368S1003,6768,в眏-KY,カ,布,ㄤ穨,2021/04/22,ESVUFR,
33,TW0006806003,6806,此碤方,カ,布,ㄤ穨,2021/11/15,ESVUFR,
34,TW0008033002,8033,筽,カ,布,ㄤ穨,2007/06/21,ESVUFR,
35,TW0008341009,8341,らね,カ,布,ㄤ穨,2015/03/23,ESVUFR,
36,KYG684631016,8404,κ㎝砍穨-KY,カ,布,ㄤ穨,2011/05/18,ESVUFR,
37,KYG525911072,8411,褐璼-KY,カ,布,ㄤ穨,2011/11/01,ESVUFR,
38,TW0008422007,8422,圭矫,カ,布,ㄤ穨,2011/10/05,ESVUFR,
39,KYG525341072,8427,膀秤-KY,カ,布,ㄤ穨,2011/12/06,ESVUFR,
40,KYG981151015,8442,Щ-KY,カ,布,ㄤ穨,2016/11/08,ESVUFR,
41,TW0008463001,8463,柬,カ,布,ㄤ穨,2015/07/13,ESVUFR,
42,TW0008464009,8464,货伦,カ,布,ㄤ穨,2015/12/22,ESVUFR,
43,KYG332481087,8466,-KY,カ,布,ㄤ穨,2016/11/01,ESVUFR,
44,KYG144971044,8467,猧-KY,カ,布,ㄤ穨,2015/12/15,ESVUFR,
45,TW0008473000,8473,狶,カ,布,ㄤ穨,2016/09/08,ESVUFR,
46,TW0008478009,8478,狥笴弗,カ,布,ㄤ穨,2017/12/11,ESVUFR,
47,KYG8661F1028,8480,狜-KY,カ,布,ㄤ穨,2017/01/17,ESVUFR,
48,TW0008481003,8481,現,カ,布,ㄤ穨,2017/02/24,ESVUFR,
49,KYG806341015,8482,坝货-KY,カ,布,ㄤ穨,2018/08/15,ESVUFR,
50,KYG5140K1085,8488,方-KY,カ,布,ㄤ穨,2016/12/13,ESVUFR,
51,KYG368891068,9802,啾霍-KY,カ,布,ㄤ穨,2012/10/18,ESVUFR,
52,TW0009902007,9902,,カ,布,ㄤ穨,1964/07/14,ESVUFR,
53,TW0009904003,9904,腳Θ,カ,布,ㄤ穨,1990/01/19,ESVUFR,
54,TW0009905000,9905,地,カ,布,ㄤ穨,1990/08/08,ESVUFR,
55,TW0009907006,9907,参龟,カ,布,ㄤ穨,1991/01/29,ESVUFR,
56,TW0009910000,9910,伦,カ,布,ㄤ穨,1992/02/18,ESVUFR,
57,TW0009911008,9911,腻,カ,布,ㄤ穨,1992/07/16,ESVUFR,
58,TW0009914002,9914,笷,カ,布,ㄤ穨,1992/09/30,ESVUFR,
59,TW0009917005,9917,い玂,カ,布,ㄤ穨,1993/12/08,ESVUFR,
60,TW0009919001,9919,眃ê,カ,布,ㄤ穨,1994/11/04,ESVUFR,
61,TW0009921007,9921,エ,カ,布,ㄤ穨,1994/12/29,ESVUFR,
62,TW0009924001,9924,褐砍,カ,布,ㄤ穨,1995/03/15,ESVUFR,
63,TW0009925008,9925,穝玂,カ,布,ㄤ穨,1995/12/09,ESVUFR,
