絪腹,瓣悔靡ㄩ絪絏,Τ基靡ㄩ腹,Τ基靡ㄩ嘿,カ初,Τ基靡ㄩ,玻穨,そ秨祇︽/カ(耫)/祇︽ら,CFICode,称爹
1,TW0001432003,1432,緗徽,カ,布,禩κ砯穨,1982/07/26,ESVUFR,
2,TW0002601002,2601,痲,カ,布,禩κ砯穨,1965/11/04,ESVUFR,
3,TW0002901006,2901,猋猋,カ,布,禩κ砯穨,1976/05/07,ESVUFR,
4,TW0002903002,2903,环κ,カ,布,禩κ砯穨,1978/10/11,ESVUFR,
5,TW0002905007,2905,坝,カ,布,禩κ砯穨,1988/09/19,ESVUFR,
6,TW0002906005,2906,蔼狶,カ,布,禩κ砯穨,1989/12/26,ESVUFR,
7,TW0002908001,2908,疭,カ,布,禩κ砯穨,1993/02/18,ESVUFR,
8,TW0002910007,2910,参烩,カ,布,禩κ砯穨,1996/12/30,ESVUFR,
9,TW0002911005,2911,腞捆┬,カ,布,禩κ砯穨,1997/01/18,ESVUFR,
10,TW0002912003,2912,参禬,カ,布,禩κ砯穨,1997/08/22,ESVUFR,
11,TW0002913001,2913,笰狶,カ,布,禩κ砯穨,1962/02/09,ESVUFR,
12,TW0002915006,2915,柬,カ,布,禩κ砯穨,1977/07/20,ESVUFR,
13,KYG8922A1085,2929,瞊-KY,カ,布,禩κ砯穨,2013/12/30,ESVUFR,
14,KYG224031024,2936,笷-KY,カ,布,禩κ砯穨,2016/09/26,ESVUFR,
15,KYG108031074,2939,惩-KY,カ,布,禩κ砯穨,2018/01/11,ESVUFR,
16,KYG7473R1065,4807,らΘ-KY,カ,布,禩κ砯穨,2017/06/26,ESVUFR,
17,KYG8661M1078,5906,玭-KY,カ,布,禩κ砯穨,2011/10/24,ESVUFR,
18,KYG4064G1029,5907,瑅-KY,カ,布,禩κ砯穨,2012/06/06,ESVUFR,
19,KYG513871015,8429,腞-KY,カ,布,禩κ砯穨,2012/12/20,ESVUFR,
20,TW0008443003,8443,紾,カ,布,禩κ砯穨,2014/09/15,ESVUFR,
21,TW0008454000,8454,碔ü碈,カ,布,禩κ砯穨,2014/12/19,ESVUFR,
