絪腹,瓣悔靡ㄩ絪絏,Τ基靡ㄩ腹,Τ基靡ㄩ嘿,カ初,Τ基靡ㄩ,玻穨,そ秨祇︽/カ(耫)/祇︽ら,CFICode,称爹
1,TW0001319002,1319,狥锭,カ,布,═ó穨,1994/12/12,ESVUFR,
2,KYG451001070,1338,約地-KY,カ,布,═ó穨,2012/12/19,ESVUFR,
3,TW0001339000,1339,琇谨,カ,布,═ó穨,2012/04/24,ESVUFR,
4,TW0001512002,1512,风,カ,布,═ó穨,1994/01/28,ESVUFR,
5,TW0001521003,1521,货,カ,布,═ó穨,1997/10/06,ESVUFR,
6,TW0001522001,1522,出蝴﹁,カ,布,═ó穨,1997/10/06,ESVUFR,
7,TW0001524007,1524,供,カ,布,═ó穨,1998/10/30,ESVUFR,
8,TW0001525004,1525,ビ,カ,布,═ó穨,1999/05/15,ESVUFR,
9,TW0001533008,1533,ó筿,カ,布,═ó穨,2001/04/06,ESVUFR,
10,TW0001536001,1536,㎝,カ,布,═ó穨,2001/09/17,ESVUFR,
11,TW0001568004,1568,,カ,布,═ó穨,2014/05/14,ESVUFR,
12,TW0001587004,1587,璟,カ,布,═ó穨,2018/04/16,ESVUFR,
13,KYG316231045,1592,璣风-KY,カ,布,═ó穨,2014/10/16,ESVUFR,
14,KYG5700L1086,2115,せ穟-KY,カ,布,═ó穨,2013/12/25,ESVUFR,
15,TW0002201001,2201,肝订,カ,布,═ó穨,1976/07/08,ESVUFR,
16,TW0002204005,2204,い地,カ,布,═ó穨,1991/03/12,ESVUFR,
17,TW0002206000,2206,锭穨,カ,布,═ó穨,1996/07/29,ESVUFR,
18,TW0002207008,2207,㎝ó,カ,布,═ó穨,1997/02/25,ESVUFR,
19,TW0002227006,2227,肝らó,カ,布,═ó穨,2004/12/21,ESVUFR,
20,TW0002228004,2228,糃棚,カ,布,═ó穨,2013/11/25,ESVUFR,
21,TW0002231008,2231,ど,カ,布,═ó穨,2010/11/19,ESVUFR,
22,TW0002233004,2233,订,カ,布,═ó穨,2019/09/17,ESVUFR,
23,KYG693691092,2236,κ笷-KY,カ,布,═ó穨,2015/06/03,ESVUFR,
24,KYG1991F1081,2239,璣-KY,カ,布,═ó穨,2016/01/27,ESVUFR,
25,TW0002241007,2241,︺﹊扒,カ,布,═ó穨,2020/08/26,ESVUFR,
26,KYG460651014,2243,ЩΠ-KY,カ,布,═ó穨,2017/09/27,ESVUFR,
27,TW0002247004,2247,ζ紈ッ穨,カ,布,═ó穨,2020/10/12,ESVUFR,
28,KYG4R56R1099,2250,IKKA-KY,カ,布,═ó穨,2021/05/31,ESVUFR,
29,TW0002497005,2497,┥筿,カ,布,═ó穨,2002/02/04,ESVUFR,
30,TW0003346003,3346,腞睲,カ,布,═ó穨,2016/12/19,ESVUFR,
31,TW0004551007,4551,醇,カ,布,═ó穨,2015/08/10,ESVUFR,
32,KYG988461011,4557,ッ穝-KY,カ,布,═ó穨,2015/10/12,ESVUFR,
33,KYG977291007,4581,订弘盞-KY,カ,布,═ó穨,2020/03/09,ESVUFR,
34,TW0006288004,6288,羛古,カ,布,═ó穨,2018/05/09,ESVUFR,
35,TW0006605009,6605,腳,カ,布,═ó穨,2004/03/17,ESVUFR,
