絪腹,瓣悔靡ㄩ絪絏,Τ基靡ㄩ腹,Τ基靡ㄩ嘿,カ初,Τ基靡ㄩ,玻穨,そ秨祇︽/カ(耫)/祇︽ら,CFICode,称爹
1,TW0002208006,2208,差,カ,布,笲穨,2008/12/22,ESVUFR,
2,TW0002603008,2603,篴,カ,布,笲穨,1987/09/21,ESVUFR,
3,TW0002605003,2605,穝砍,カ,布,笲穨,1989/12/08,ESVUFR,
4,TW0002606001,2606,肝チ,カ,布,笲穨,1990/12/08,ESVUFR,
5,TW0002607009,2607,篴笲,カ,布,笲穨,1990/12/14,ESVUFR,
6,TW0002608007,2608,古ń篴,カ,布,笲穨,1990/12/20,ESVUFR,
7,TW0002609005,2609,锭,カ,布,笲穨,1992/04/20,ESVUFR,
8,TW0002610003,2610,地,カ,布,笲穨,1993/02/26,ESVUFR,
9,TW0002611001,2611,в獺,カ,布,笲穨,1993/10/28,ESVUFR,
10,TW0002612009,2612,い,カ,布,笲穨,1994/10/20,ESVUFR,
11,TW0002613007,2613,い耫,カ,布,笲穨,1995/01/20,ESVUFR,
12,TW0002615002,2615,窾,カ,布,笲穨,1996/05/16,ESVUFR,
13,TW0002617008,2617,,カ,布,笲穨,1998/06/24,ESVUFR,
14,TW0002618006,2618,篴,カ,布,笲穨,2001/09/17,ESVUFR,
15,TW0002630001,2630,ㄈ,カ,布,笲穨,2018/02/22,ESVUFR,
16,TW0002633005,2633,芖蔼臟,カ,布,笲穨,2016/10/27,ESVUFR,
17,TW0002634003,2634,簙稻,カ,布,笲穨,2014/08/25,ESVUFR,
18,TW0002636008,2636,鱺щ北,カ,布,笲穨,2016/12/22,ESVUFR,
19,KYG9721M1033,2637,紌瑅-KY,カ,布,笲穨,2010/12/01,ESVUFR,
20,TW0002642006,2642,皌硄,カ,布,笲穨,2013/12/12,ESVUFR,
21,TW0005607006,5607,环动翠,カ,布,笲穨,2004/12/02,ESVUFR,
22,TW0005608004,5608,蝴,カ,布,笲穨,2003/08/25,ESVUFR,
23,TW0008367004,8367,穝瓣悔,カ,布,笲穨,2018/09/12,ESVUFR,
